Date,Settle,Open,High,Low,Last,Change,Volume,Previous Day Open Interest
2016-12-14,76.675,,,,,,0.0,0.0
2016-12-15,76.925,,,,,0.25,0.0,0.0
2016-12-16,77.275,,,,,0.35,0.0,0.0
2016-12-19,77.0,,,,,0.275,0.0,0.0
2016-12-20,76.475,,,,,0.525,0.0,0.0
2016-12-21,76.875,,,,,0.4,0.0,0.0
2016-12-22,76.925,,,,,0.05,0.0,0.0
2016-12-23,76.9,,,,,0.025,0.0,0.0
2016-12-27,77.275,,,,,0.375,0.0,0.0
2016-12-28,77.05,,,,,0.225,0.0,0.0
2016-12-29,77.225,,,,,0.175,0.0,0.0
2016-12-30,77.4,,,,,0.175,0.0,0.0
2017-01-03,77.4,,,,,,0.0,0.0
2017-01-04,77.125,,,,,0.275,0.0,0.0
2017-01-05,77.025,,,,,0.1,0.0,0.0
2017-01-06,76.95,,,,,0.075,0.0,0.0
2017-01-09,77.25,,,,,0.3,0.0,0.0
2017-01-10,77.25,,,,,,0.0,0.0
2017-01-11,77.25,77.25,77.25,77.25,77.25,,2.0,0.0
2017-01-12,77.225,,,,,0.025,0.0,2.0
2017-01-13,77.25,,,,,0.025,0.0,2.0
2017-01-17,76.975,,,,,0.275,0.0,2.0
2017-01-18,76.825,,,,,0.15,0.0,2.0
2017-01-19,77.1,,,,,0.275,0.0,2.0
2017-01-20,77.25,,,,,0.15,0.0,2.0
2017-01-23,77.25,,,,,,0.0,2.0
2017-01-24,77.25,,,,,,0.0,2.0
2017-01-25,77.25,,,,,,0.0,2.0
2017-01-26,76.85,,,,,0.4,0.0,2.0
2017-01-27,77.0,,,,,0.15,0.0,2.0
2017-01-30,77.0,,,,,,0.0,2.0
2017-01-31,76.85,,,,,0.15,0.0,2.0
2017-02-01,76.75,,,,,0.1,0.0,2.0
2017-02-02,76.4,,,,,0.35,0.0,2.0
2017-02-03,75.95,75.7,76.05,75.7,75.95,0.45,48.0,2.0
2017-02-06,76.275,76.0,76.4,76.0,76.4,0.325,2.0,34.0
2017-02-07,77.1,77.1,77.1,77.1,77.1,0.825,67.0,34.0
2017-02-08,77.3,77.1,77.3,77.1,77.3,0.2,123.0,68.0
2017-02-09,77.15,76.825,77.15,76.825,77.15,0.15,29.0,153.0
2017-02-10,77.15,77.15,77.15,77.15,77.15,,8.0,175.0
2017-02-13,76.95,,,,,0.2,0.0,183.0
2017-02-14,77.15,77.15,77.15,77.15,77.15,0.2,27.0,183.0
2017-02-15,77.15,77.15,77.15,77.15,77.15,,24.0,200.0
2017-02-16,76.625,,,,,0.525,0.0,203.0
2017-02-17,76.9,,,,,0.275,0.0,203.0
